Depth,Search,ThreadSearch,OMPSearch
0,3.9394e-05,0.0258224,0.0367704
1,0.000244569,0.0257696,0.030893
2,0.000527892,0.0258439,0.0313152
3,0.000951187,0.0263167,0.0314058
4,0.0013162,0.026673,0.0393954
5,0.00171785,0.026861,0.0382173
6,0.00225168,0.0273812,0.0449792
7,0.00281987,0.0282192,0.0453723
8,0.00345303,0.0288321,0.0398853
9,0.00473577,0.030401,0.0432265
10,0.00644185,0.0322677,0.0368714
11,0.0082045,0.0334667,0.0372778
12,0.0101904,0.0357132,0.0368919
13,0.0112179,0.0370065,0.0376159
14,0.0121001,0.0382579,0.0373147
15,0.0137223,0.0403402,0.0504489
16,0.015664,0.0421325,0.0523525
17,0.0177524,0.0448035,0.048259
18,0.0198387,0.0458258,0.0565489
19,0.021025,0.0474729,0.0518126
20,0.0223191,0.0491337,0.0502201
21,0.0250396,0.0509065,0.0508592
22,0.027581,0.0535559,0.0586309
23,0.0304759,0.0580988,0.0614746
24,0.0332903,0.0601352,0.0628772
25,0.035376,0.0611261,0.0633236
26,0.0367397,0.0644007,0.0655099
27,0.0399296,0.0675056,0.0782891
28,0.0439505,0.0709836,0.0738541
29,0.0478824,0.0742534,0.0765593
30,0.0541694,0.0807154,0.0849972
31,0.0577238,0.0850561,0.094305
32,0.0581129,0.0845383,0.0910342
33,0.0641309,0.0953291,0.0896724
34,0.0702529,0.0973694,0.101225
35,0.078768,0.105192,0.11451
36,0.0858578,0.11247,0.116368
37,0.0890773,0.118618,0.121728
38,0.0943739,0.12635,0.13335
39,0.10367,0.132631,0.135288
40,0.116597,0.145259,0.147831
41,0.132162,0.161204,0.163494
42,0.150093,0.175904,0.189843
43,0.154331,0.1824,0.186051
44,0.167707,0.195029,0.19928
45,0.189314,0.216254,0.219763
46,0.214791,0.241846,0.246616
47,0.242326,0.270142,0.271264
48,0.276748,0.307927,0.313382
49,0.29022,0.327376,0.324662
50,0.309394,0.339775,0.346028
51,0.341983,0.371306,0.377485
52,0.385147,0.421751,0.414958
53,0.426425,0.452824,0.466539
54,0.477802,0.509954,0.511017
55,0.484233,0.51504,0.513342
56,0.503085,0.555826,0.53574
57,0.53533,0.565017,0.567709
58,0.582718,0.612238,0.608291
59,0.6184,0.651774,0.648317
60,0.692458,0.727537,0.719354
61,0.700628,0.755639,0.729991
62,0.724141,0.750819,0.748508
63,0.769828,0.807248,0.798702
64,0.827307,0.902518,0.856117
65,0.888203,0.92132,0.9185
66,0.958734,0.990256,0.986129
67,0.967698,1.00298,0.993033
68,0.990416,1.02467,1.02477
69,1.04208,1.07251,1.07304
70,1.10466,1.15157,1.13017
71,1.16019,1.19404,1.18378
72,1.23125,1.30575,1.25888
73,1.25895,1.29494,1.28609
74,1.27371,1.32105,1.30621
75,1.31532,1.3861,1.34499
76,1.35426,1.40708,1.38518
77,1.39141,1.43304,1.42454
78,1.45554,1.55795,1.48292
79,1.4569,1.5032,1.48789
80,1.4754,1.51611,1.5079
81,1.5076,1.53734,1.53977
82,1.54553,1.576,1.56861
83,1.57171,1.6353,1.6077
84,1.63268,1.68169,1.65803
85,1.64856,1.77655,1.67941
86,1.66253,1.75112,1.69177
87,1.69001,1.75014,1.71915
88,1.72649,1.83411,1.75526
89,1.76305,1.81248,1.78952
90,1.80536,1.84317,1.83223
91,1.80795,1.84718,1.84239
92,1.81922,1.86909,1.85359
93,1.85245,1.89502,1.88266
94,1.88076,1.91601,1.909
95,1.91416,1.95869,1.93967
96,1.9751,2.10623,1.99313
97,1.96937,2.0117,1.99411
98,1.98999,2.04288,2.00834
99,2.00736,2.11595,2.04011
100,2.04932,2.07662,2.07308
