Depth,Search,ThreadSearch,OMPSearch
0,2.9796e-05,0.000176433,3.9274e-05
1,0.000231286,0.000261904,0.000239822
2,0.000523186,0.000563252,0.000539768
3,0.00100959,0.00106311,0.00103188
4,0.00146214,0.00151906,0.00148796
5,0.00197367,0.00200711,0.0020413
6,0.00261863,0.00271237,0.00268331
7,0.00314221,0.00329343,0.00325928
8,0.00390795,0.00396272,0.00389799
9,0.00542223,0.0054156,0.00530159
10,0.00730968,0.00741263,0.00746034
11,0.00958885,0.00957378,0.00963343
12,0.0120066,0.0121703,0.0122967
13,0.0131134,0.0132868,0.0132101
14,0.0140109,0.0140577,0.0140169
15,0.0160432,0.0158785,0.0162097
16,0.0181956,0.0185568,0.0185066
17,0.0205954,0.0206373,0.0205475
18,0.0234913,0.0233282,0.0231799
19,0.0246634,0.0246853,0.0247125
20,0.0262501,0.0261384,0.0263856
21,0.0292282,0.0294255,0.0296852
22,0.0329001,0.0331893,0.0328263
23,0.0359454,0.0366675,0.0361024
24,0.039747,0.0400168,0.0399058
25,0.0417024,0.0416811,0.0414331
26,0.0438444,0.0439113,0.0432075
27,0.0472973,0.0471757,0.047698
28,0.0521,0.0522928,0.0514599
29,0.0565969,0.0570868,0.0563763
30,0.0639192,0.0644578,0.0641917
31,0.0678317,0.0682096,0.0676865
32,0.0687213,0.0684202,0.0694262
33,0.0754432,0.0753834,0.0755561
34,0.0826341,0.0834021,0.0822458
35,0.0926949,0.0925677,0.0921948
36,0.101967,0.103013,0.102136
37,0.106012,0.107038,0.106689
38,0.112324,0.112247,0.111529
39,0.122939,0.124878,0.122893
40,0.139557,0.13914,0.138671
41,0.156762,0.157306,0.157673
42,0.178735,0.179565,0.177497
43,0.184369,0.184322,0.184457
44,0.197286,0.198097,0.196874
45,0.223798,0.224724,0.223634
46,0.254347,0.255392,0.255092
47,0.289339,0.288988,0.29146
48,0.330352,0.328818,0.330063
49,0.34609,0.346753,0.347769
50,0.364705,0.366,0.365851
51,0.403816,0.402854,0.403527
52,0.458514,0.456343,0.456191
53,0.510382,0.511531,0.509839
54,0.571108,0.571747,0.568947
55,0.575318,0.574512,0.573868
56,0.597757,0.599972,0.598408
57,0.636386,0.638145,0.640567
58,0.688656,0.686154,0.688738
59,0.740955,0.742084,0.739938
60,0.826355,0.826867,0.823892
61,0.832235,0.833898,0.833027
62,0.862544,0.863134,0.860582
63,0.922044,0.919014,0.920116
64,0.987399,0.990766,0.990216
65,1.06464,1.06736,1.06877
66,1.15369,1.15249,1.15042
67,1.16233,1.16078,1.15875
68,1.18536,1.18156,1.18597
69,1.24174,1.24182,1.24034
70,1.30653,1.31028,1.30784
71,1.37748,1.37936,1.37638
72,1.45987,1.46206,1.4637
73,1.49855,1.49405,1.4998
74,1.51615,1.52074,1.52401
75,1.56494,1.57462,1.56884
76,1.62328,1.62328,1.61928
77,1.6777,1.68265,1.67732
78,1.74682,1.7536,1.75215
79,1.75576,1.76394,1.76385
80,1.79174,1.79093,1.78756
81,1.83068,1.82868,1.82726
82,1.87503,1.87334,1.87515
83,1.9191,1.92476,1.91789
84,1.99346,2.00016,1.99676
85,2.01032,2.00715,2.00446
86,2.02797,2.02811,2.03035
87,2.06535,2.06359,2.05995
88,2.10091,2.10387,2.10044
89,2.14655,2.14908,2.14772
90,2.20064,2.20592,2.19906
91,2.20569,2.20191,2.20497
92,2.22483,2.22831,2.22902
93,2.26399,2.26715,2.26247
94,2.28481,2.29391,2.29559
95,2.32765,2.33592,2.33403
96,2.3885,2.37897,2.38612
97,2.38999,2.39321,2.38986
98,2.40854,2.40427,2.40308
99,2.44018,2.43913,2.43537
100,2.47496,2.46168,2.47167
