Depth,Search,ThreadSearch,OMPSearch
0,5.0064e-05,0.0268213,0.0789664
1,0.000257414,0.0269962,0.0437911
2,0.000512334,0.0266201,0.0439555
3,0.000940359,0.0274755,0.0322961
4,0.00136079,0.0272421,0.032906
5,0.00177076,0.0280863,0.0328066
6,0.00228446,0.028795,0.0334873
7,0.00282859,0.0289112,0.0337381
8,0.00344022,0.0292524,0.0345125
9,0.00473156,0.0309466,0.0355727
10,0.00639963,0.0326005,0.0372045
11,0.00840722,0.0355358,0.037527
12,0.0104488,0.0365575,0.0356147
13,0.0113896,0.0380928,0.0382165
14,0.012255,0.0375241,0.0376006
15,0.0138346,0.0398497,0.0446234
16,0.0157502,0.0425671,0.0470735
17,0.0176706,0.0440082,0.0494374
18,0.0202781,0.0466253,0.0515107
19,0.0214501,0.048352,0.0508927
20,0.0227038,0.0497739,0.0504262
21,0.02554,0.0524185,0.0518747
22,0.0277728,0.0542918,0.0589416
23,0.0308202,0.0578433,0.0622503
24,0.0338697,0.0606456,0.0638567
25,0.0360863,0.0617819,0.0640501
26,0.0374927,0.0645754,0.0680268
27,0.0404741,0.0679844,0.0716038
28,0.0443818,0.0711488,0.0758472
29,0.0484309,0.0773738,0.0826385
30,0.0541732,0.0831916,0.0853191
31,0.0575737,0.0838952,0.0952985
32,0.0590627,0.0859014,0.0922836
33,0.0647525,0.0917118,0.0953845
34,0.0707466,0.0978755,0.101722
35,0.0793652,0.105793,0.109066
36,0.0867373,0.113459,0.12108
37,0.0910904,0.118435,0.121189
38,0.0957823,0.12325,0.126372
39,0.105478,0.132483,0.135445
40,0.117471,0.145757,0.148625
41,0.133529,0.1612,0.16097
42,0.151623,0.180992,0.180906
43,0.160597,0.186704,0.186863
44,0.167797,0.195977,0.199945
45,0.190394,0.221835,0.218482
46,0.221183,0.246425,0.25508
47,0.245581,0.275761,0.275782
48,0.280491,0.309094,0.310631
49,0.2943,0.326951,0.325237
50,0.31108,0.346138,0.342313
51,0.345421,0.381736,0.3754
52,0.389278,0.431154,0.415894
53,0.439523,0.478354,0.454449
54,0.48917,0.516002,0.512483
55,0.493555,0.515796,0.515376
56,0.515638,0.537563,0.539178
57,0.547579,0.582725,0.569637
58,0.599756,0.623073,0.615442
59,0.640573,0.656826,0.654997
60,0.713207,0.73798,0.725095
61,0.714181,0.750329,0.734479
62,0.741468,0.76631,0.757535
63,0.783059,0.814339,0.807591
64,0.85307,0.892485,0.865936
65,0.920248,0.992078,0.92254
66,0.97711,1.01218,0.996273
67,0.986377,1.02953,1.00247
68,1.03495,1.05655,1.0273
69,1.06672,1.1,1.07373
70,1.12918,1.18267,1.14856
71,1.18443,1.20875,1.18996
72,1.2627,1.32314,1.26213
73,1.28055,1.33679,1.30021
74,1.3055,1.3763,1.32333
75,1.33472,1.43789,1.36589
76,1.38846,1.40904,1.39137
77,1.43031,1.46346,1.44014
78,1.49265,1.53354,1.50696
79,1.5119,1.5355,1.51461
80,1.51518,1.56185,1.52897
81,1.55325,1.61273,1.56623
82,1.60258,1.62642,1.61093
83,1.646,1.70672,1.64696
84,1.69243,1.74981,1.70203
85,1.71653,1.74417,1.71406
86,1.72834,1.75986,1.72725
87,1.73694,1.7909,1.75516
88,1.77933,1.82657,1.78783
89,1.80663,1.93741,1.82871
90,1.86177,1.93327,1.85755
91,1.90023,2.00067,1.87095
92,1.91297,1.93425,1.88594
93,1.90412,1.94715,1.92009
94,1.93254,1.97407,1.94389
95,1.97076,2.04441,1.98238
96,2.01063,2.06371,2.02553
97,2.01533,2.05644,2.0257
98,2.02057,2.07016,2.04528
99,2.05697,2.14019,2.07276
100,2.12291,2.16761,2.09807
