Depth,Search,ThreadSearch,OMPSearch
0,6.2554e-05,0.00154759,0.0185225
1,0.000360665,0.00458576,0.000527113
2,0.0020125,0.00232622,0.000972559
3,0.0011293,0.004781,0.00284622
4,0.00166294,0.0054568,0.00439554
5,0.00219475,0.0060777,0.00611705
6,0.00289574,0.00569059,0.00972804
7,0.00351011,0.00777145,0.0126745
8,0.00426686,0.00696966,0.00959652
9,0.00597974,0.0112959,0.0146883
10,0.00840893,0.0210421,0.023682
11,0.0110163,0.0277896,0.0332252
12,0.0138434,0.0440401,0.0423808
13,0.0148189,0.0428271,0.0421132
14,0.0158863,0.0452532,0.0442206
15,0.0182367,0.0510849,0.0511676
16,0.0208593,0.0569745,0.0618752
17,0.0234222,0.0615819,0.0676236
18,0.0266231,0.0670283,0.0789842
19,0.0278822,0.0713928,0.0795202
20,0.0294562,0.0743437,0.0819857
21,0.0331765,0.0856124,0.0948602
22,0.0369543,0.0946525,0.109738
23,0.0408349,0.125782,0.118142
24,0.0451564,0.117257,0.135008
25,0.0472248,0.121656,0.137525
26,0.0495363,0.12477,0.141172
27,0.0534475,0.130588,0.153576
28,0.0589221,0.158966,0.172548
29,0.0645812,0.196629,0.188253
30,0.0739083,0.225414,0.222886
31,0.0775204,0.232712,0.22788
32,0.0780814,0.218215,0.223835
33,0.0863588,0.24369,0.24895
34,0.09481,0.272392,0.278428
35,0.106247,0.325101,0.317732
36,0.117744,0.358537,0.362557
37,0.122802,0.382322,0.374326
38,0.128474,0.38936,0.384324
39,0.141445,0.42969,0.423158
40,0.14856,0.483875,0.486922
41,0.16781,0.549618,0.545233
42,0.191239,0.638723,0.637203
43,0.19662,0.656271,0.647639
44,0.211079,0.681642,0.66769
45,0.23923,0.750203,0.780199
46,0.273735,0.876501,0.910032
47,0.313369,1.05312,1.0537
48,0.359318,1.20028,1.21345
49,0.374459,1.22665,1.28691
50,0.416474,1.22206,1.29588
51,0.436134,1.37114,1.42375
52,0.491434,1.59716,1.65034
53,0.551467,1.82244,1.89416
54,0.618456,2.0631,2.15371
55,0.624934,2.07521,2.13769
56,0.652163,2.1177,2.18829
57,0.68882,2.31534,2.33302
58,0.744937,2.47341,2.52324
59,0.799366,2.65725,2.72802
60,0.897795,2.97688,3.07315
61,0.902783,3.02947,3.08966
62,0.927409,3.04463,3.1434
63,0.991345,3.28519,3.35901
64,1.10103,3.57873,3.63835
65,1.15471,3.87512,3.97711
66,1.23893,4.2064,4.30807
67,1.25147,4.29376,4.30771
68,1.27963,4.40681,4.36085
69,1.4417,4.59866,4.53707
70,1.41758,4.85652,4.82721
71,1.49441,5.18649,5.21056
72,1.63184,5.55446,5.6181
73,1.61836,5.82007,5.73109
74,1.64342,5.83477,5.73389
75,1.69706,6.03653,5.77548
76,1.74971,5.8795,5.95406
77,1.8115,6.08393,6.20936
78,1.88965,6.36621,6.47208
79,1.89777,6.33246,6.46194
80,1.92494,6.39242,6.52826
81,1.96733,6.65644,6.66194
82,2.02327,6.85009,6.84068
83,2.07547,7.05987,7.07351
84,2.18814,7.43439,7.398
85,2.19805,7.44703,7.51781
86,2.4383,7.59499,7.54733
87,2.48909,7.68353,7.70889
88,2.4067,7.90812,7.86721
89,2.59444,8.13366,8.07884
90,2.54551,8.35446,8.21151
91,2.57101,8.28092,8.21593
92,2.4277,8.12556,8.14012
93,2.441,8.28314,8.25398
94,2.49546,8.43054,8.38764
95,2.5145,8.54334,8.56037
96,2.57815,8.81518,8.76988
97,2.7747,8.739,8.71116
98,2.59298,8.77506,8.72295
99,2.62329,8.98845,8.88273
100,2.67378,10.5677,9.19944
