Depth,Search,ThreadSearch,OMPSearch
0,5.6251e-05,0.00129416,0.0242553
1,0.000236504,0.010792,0.00105334
2,0.00215474,0.00488605,0.00118636
3,0.00371109,0.00297516,0.00234977
4,0.00373508,0.00229608,0.0030291
5,0.00338103,0.00355233,0.00385682
6,0.00298007,0.00481957,0.00505487
7,0.00343879,0.00434364,0.00527956
8,0.00425161,0.00491262,0.00648163
9,0.00602029,0.00819925,0.00995431
10,0.00837751,0.0122364,0.0143619
11,0.0109839,0.0229304,0.0189919
12,0.0137806,0.0280544,0.0255483
13,0.0148594,0.0360653,0.025304
14,0.0158955,0.0332498,0.026302
15,0.0182093,0.0367161,0.0306137
16,0.0208597,0.0420647,0.0353505
17,0.0234918,0.0466724,0.0406554
18,0.0265772,0.0476079,0.0454507
19,0.02797,0.0490313,0.0469555
20,0.0411075,0.0359139,0.0497927
21,0.0308571,0.0440228,0.0543142
22,0.0349464,0.0554491,0.0628741
23,0.0381433,0.0525197,0.0686506
24,0.042163,0.0779537,0.0772085
25,0.0448258,0.0824494,0.0809563
26,0.0462455,0.0666426,0.0824928
27,0.0505621,0.0757911,0.0927121
28,0.0552381,0.0686458,0.102723
29,0.0611479,0.0765392,0.111215
30,0.0687579,0.109732,0.128477
31,0.0728274,0.0991826,0.135713
32,0.072424,0.135594,0.130753
33,0.0802752,0.115124,0.147119
34,0.088588,0.114309,0.164121
35,0.0987582,0.171173,0.181707
36,0.109852,0.139631,0.209075
37,0.114015,0.211323,0.213244
38,0.119531,0.171784,0.22143
39,0.131847,0.191102,0.243091
40,0.148967,0.275356,0.278772
41,0.167675,0.295661,0.308852
42,0.19134,0.270645,0.357491
43,0.196578,0.364301,0.364365
44,0.210617,0.295339,0.382739
45,0.239842,0.345001,0.43757
46,0.273755,0.406458,0.507835
47,0.311117,0.533844,0.586374
48,0.355951,0.596919,0.675644
49,0.37468,0.692081,0.709857
50,0.394472,0.699478,0.725627
51,0.434768,0.805561,0.792407
52,0.491538,0.924572,0.918004
53,0.550582,1.02793,1.0391
54,0.621814,1.17659,1.17428
55,0.622093,1.15925,1.16979
56,0.647619,1.21715,1.21044
57,0.747573,1.25409,1.27342
58,0.743314,1.39429,1.39946
59,0.823501,1.51966,1.49998
60,0.893874,1.65466,1.68024
61,0.898378,1.63552,1.70145
62,0.926156,1.70128,1.72926
63,0.990878,1.8795,1.85777
64,1.08932,2.05166,2.0006
65,1.17657,2.23311,2.1794
66,1.23814,2.28134,2.36689
67,1.25022,2.32001,2.37895
68,1.28138,2.42728,2.41612
69,1.33883,2.5335,2.52842
70,1.41521,2.66205,2.67047
71,1.49385,2.81194,2.82239
72,1.58152,3.0217,3.01443
73,1.61643,3.11664,3.05612
74,1.76091,3.09027,3.03477
75,1.81953,2.97165,3.11735
76,1.82831,3.25286,3.24513
77,1.94633,3.44981,3.35351
78,2.03561,3.55129,3.54611
79,2.04181,3.51587,3.58166
80,2.21619,3.6414,3.60877
81,2.3197,3.72324,3.72661
82,2.05659,3.89349,3.85441
83,2.10964,3.9409,3.96027
84,2.18707,4.08661,4.09076
85,2.16995,4.12159,4.09383
86,2.1806,4.10265,4.08676
87,2.26441,4.23511,4.15871
88,2.44622,4.3187,4.215
89,2.49617,4.31072,4.35339
90,2.55536,4.37885,4.44658
91,2.48608,4.55029,4.46406
92,2.58523,4.51721,4.49079
93,2.62591,4.60644,4.55775
94,2.66297,4.67176,4.63038
95,2.70917,4.70288,4.80434
96,2.77764,4.98088,4.93437
97,2.77601,4.77049,4.82322
98,2.79264,4.81608,4.83651
99,2.83085,4.8594,4.89959
100,2.67001,4.91573,4.98955
