Depth,Search,ThreadSearch,OMPSearch
0,3.5557e-05,0.050049,0.0498289
1,0.000261788,0.0496592,0.0478014
2,0.00056496,0.0507543,0.0499836
3,0.00104002,0.050339,0.0489111
4,0.00146544,0.0508248,0.0492223
5,0.00193015,0.0512521,0.0500744
6,0.0025411,0.0529293,0.051661
7,0.00317439,0.0525783,0.0510629
8,0.00385878,0.0532512,0.0516872
9,0.00533383,0.0550539,0.0539493
10,0.00721678,0.056954,0.055246
11,0.00936769,0.0590927,0.0589612
12,0.0116798,0.0613834,0.0612224
13,0.012725,0.0623039,0.0620062
14,0.0137537,0.0634715,0.0630924
15,0.0157244,0.0654599,0.064766
16,0.0179088,0.0675905,0.0673813
17,0.0201661,0.0705033,0.06885
18,0.022724,0.0724313,0.0720931
19,0.0240281,0.0737721,0.0734813
20,0.0255612,0.0753952,0.0748626
21,0.0287242,0.0783524,0.0769355
22,0.0318448,0.0809864,0.0800725
23,0.0348938,0.0843348,0.0833715
24,0.038418,0.0879889,0.0875116
25,0.0403803,0.0899341,0.0904798
26,0.042327,0.0918123,0.0926261
27,0.0458392,0.0954035,0.0957511
28,0.0502439,0.100177,0.0994036
29,0.0550109,0.105385,0.104182
30,0.0623505,0.111693,0.111127
31,0.0658405,0.115294,0.116026
32,0.0668194,0.116565,0.116328
33,0.0737745,0.123205,0.122658
34,0.0806979,0.130245,0.129801
35,0.0896645,0.139236,0.138605
36,0.0987401,0.148308,0.14789
37,0.103337,0.152362,0.152477
38,0.108744,0.1581,0.157838
39,0.119782,0.169104,0.168833
40,0.134766,0.184317,0.184286
41,0.152914,0.203885,0.202792
42,0.173972,0.223732,0.22333
43,0.179146,0.228759,0.229211
44,0.1937,0.243017,0.242782
45,0.218629,0.268245,0.267232
46,0.248388,0.298489,0.296991
47,0.281111,0.331257,0.33032
48,0.320428,0.370591,0.369587
49,0.337601,0.388137,0.386971
50,0.357973,0.409036,0.406968
51,0.398199,0.448216,0.447334
52,0.450851,0.502142,0.500744
53,0.503638,0.555272,0.555192
54,0.569353,0.619977,0.618231
55,0.569123,0.619696,0.618129
56,0.593472,0.644008,0.642659
57,0.630619,0.681295,0.679025
58,0.68262,0.733537,0.732218
59,0.731773,0.781854,0.780296
60,0.814151,0.864963,0.861684
61,0.820426,0.871648,0.869586
62,0.84978,0.901385,0.898618
63,0.91031,0.96185,0.958734
64,0.977563,1.02956,1.02669
65,1.0736,1.12488,1.12237
66,1.18012,1.23138,1.22765
67,1.18799,1.24141,1.2397
68,1.22204,1.27326,1.27158
69,1.28212,1.33449,1.33187
70,1.35186,1.40428,1.40205
71,1.4337,1.48542,1.48192
72,1.54262,1.59497,1.59007
73,1.57645,1.62957,1.6242
74,1.602,1.65532,1.65298
75,1.65458,1.70827,1.70674
76,1.71025,1.76061,1.75967
77,1.76467,1.81507,1.8129
78,1.82953,1.88182,1.87858
79,1.85019,1.90143,1.8976
80,1.87657,1.92871,1.92546
81,1.92709,1.98169,1.97624
82,1.9832,2.03794,2.0328
83,2.04444,2.09931,2.09394
84,2.1107,2.16427,2.15818
85,2.12046,2.17478,2.16951
86,2.13554,2.18877,2.18409
87,2.16735,2.22084,2.21554
88,2.20497,2.25945,2.25358
89,2.23713,2.29245,2.28652
90,2.29155,2.34799,2.34088
91,2.29081,2.34529,2.33897
92,2.31065,2.36511,2.35928
93,2.3494,2.40002,2.39765
94,2.37708,2.43001,2.42764
95,2.40596,2.45873,2.4546
96,2.46247,2.51641,2.51143
97,2.47327,2.52435,2.52114
98,2.48968,2.54207,2.53963
99,2.52197,2.57769,2.57074
100,2.55872,2.61447,2.60985
