Depth,Search,ThreadSearch,OMPSearch
0,7.9306e-05,0.000697509,0.000212333
1,0.000705546,0.0130672,0.000509568
2,0.00202111,0.00228373,0.00104716
3,0.00407661,0.00186652,0.00162109
4,0.00267026,0.00268913,0.00233803
5,0.00203979,0.00219246,0.00266265
6,0.00280284,0.00274762,0.00362818
7,0.00323866,0.00331372,0.00413562
8,0.00390757,0.00396595,0.00487731
9,0.00554614,0.00551902,0.0067507
10,0.00759902,0.0077565,0.00991128
11,0.0100964,0.0100925,0.0133361
12,0.0126165,0.0126845,0.0174241
13,0.0137542,0.0139947,0.0183711
14,0.0145418,0.0148456,0.0198322
15,0.0167617,0.0232447,0.0209625
16,0.0191704,0.019469,0.0243653
17,0.0216692,0.0263839,0.0273635
18,0.0243313,0.0274008,0.0319479
19,0.026535,0.0264799,0.0329
20,0.0271595,0.0335458,0.0337409
21,0.0307661,0.0317111,0.0385424
22,0.0344448,0.0355567,0.0431534
23,0.0377797,0.0458349,0.0470783
24,0.0417244,0.0440912,0.054288
25,0.0440128,0.0502966,0.0556147
26,0.0455846,0.0581553,0.059021
27,0.0497875,0.053128,0.0631944
28,0.0543928,0.0563405,0.0719846
29,0.0594451,0.0664282,0.0746786
30,0.0680791,0.0880187,0.0869715
31,0.0714308,0.0884064,0.0916299
32,0.0719704,0.0811324,0.0915411
33,0.0798363,0.0830982,0.101435
34,0.0872866,0.106537,0.110471
35,0.0980915,0.124623,0.124892
36,0.108708,0.14185,0.139515
37,0.113931,0.133261,0.144528
38,0.119241,0.148928,0.150054
39,0.130496,0.153632,0.164057
40,0.147903,0.190336,0.185673
41,0.167012,0.209832,0.20988
42,0.191415,0.234229,0.236977
43,0.196015,0.247919,0.243289
44,0.209851,0.257856,0.260429
45,0.239101,0.290932,0.283817
46,0.273891,0.333233,0.342864
47,0.31077,0.393363,0.390535
48,0.354573,0.444127,0.446743
49,0.374269,0.474855,0.476639
50,0.394634,0.501556,0.492773
51,0.434273,0.537229,0.537544
52,0.491003,0.617804,0.611708
53,0.550513,0.697708,0.69222
54,0.619579,0.790318,0.781462
55,0.624695,0.785673,0.784393
56,0.649281,0.809642,0.817325
57,0.693441,0.878654,0.864266
58,0.747214,0.933245,0.932795
59,0.802829,1.06446,1.06833
60,0.894614,1.17368,1.19181
61,0.900173,1.22575,1.19285
62,0.959128,1.20443,1.21628
63,1.07135,1.23341,1.32416
64,1.14369,1.40482,1.34679
65,1.20629,1.5051,1.44272
66,1.24143,1.57946,1.55843
67,1.25335,1.56515,1.5717
68,1.28064,1.5706,1.59733
69,1.34342,1.7473,1.772
70,1.41762,1.8985,1.88325
71,1.48666,1.97682,1.98673
72,1.58261,2.24061,2.35378
73,1.61721,2.28439,2.13558
74,1.641,2.24012,2.16455
75,1.69419,2.26794,2.23054
76,1.7486,2.32586,2.30087
77,1.81054,2.45666,2.37945
78,1.88549,2.49499,2.4776
79,1.89837,2.60709,2.48359
80,1.91908,2.52705,2.50902
81,1.97356,2.61064,2.59445
82,2.01971,2.78799,2.64719
83,2.07206,2.74132,2.71963
84,2.15767,2.88675,2.72002
85,2.16316,2.66843,2.71997
86,2.17561,2.73242,2.74763
87,2.21822,2.63484,2.78398
88,2.26243,2.80404,2.84569
89,2.31317,2.87829,2.91509
90,2.36819,2.96702,2.98335
91,2.37846,2.96293,3.00109
92,2.39783,3.02194,3.02166
93,2.43419,3.21885,3.30373
94,3.07243,3.05718,3.10933
95,2.67926,3.10735,3.1856
96,2.57619,3.04802,3.25327
97,2.5719,3.21711,3.25204
98,2.59328,3.23372,3.27832
99,2.64189,3.25846,3.30134
100,2.66095,3.31049,3.35323
