Depth,Search,ThreadSearch,OMPSearch
0,3.8952e-05,0.0480705,0.0530223
1,0.000254838,0.0485795,0.0476287
2,0.000519313,0.0472942,0.0479145
3,0.000963358,0.0479314,0.0484286
4,0.00135375,0.0483017,0.049463
5,0.00178905,0.0485874,0.0492785
6,0.00234892,0.0491427,0.0503641
7,0.002924,0.0497614,0.0482558
8,0.00389254,0.0617321,0.0553702
9,0.00534799,0.0668299,0.0527724
10,0.007244,0.0686845,0.0618096
11,0.00942212,0.0719037,0.0638591
12,0.0117025,0.0751394,0.0634032
13,0.0128543,0.0744224,0.0644487
14,0.0137632,0.0756782,0.0651956
15,0.0157038,0.0773522,0.0633672
16,0.0165725,0.0636568,0.0610466
17,0.0201101,0.0816071,0.0699719
18,0.0227155,0.0862337,0.0725614
19,0.0240364,0.0883688,0.0745312
20,0.0237443,0.0715922,0.068228
21,0.0268922,0.0749726,0.0712935
22,0.0319127,0.0811088,0.0761276
23,0.0335707,0.0817201,0.0797531
24,0.0369224,0.0911699,0.0924515
25,0.0386326,0.0954193,0.0914441
26,0.0404636,0.0883011,0.0845549
27,0.0437596,0.10168,0.100207
28,0.0487545,0.105153,0.0990026
29,0.0520685,0.103352,0.096544
30,0.0589621,0.107468,0.103214
31,0.0620291,0.121516,0.119341
32,0.0629962,0.115884,0.107464
33,0.0694644,0.118483,0.113599
34,0.076233,0.12761,0.12022
35,0.0844763,0.133336,0.132672
36,0.0925062,0.142441,0.137432
37,0.0967184,0.152218,0.141444
38,0.101906,0.156652,0.146211
39,0.112096,0.16687,0.15705
40,0.126128,0.184416,0.170738
41,0.143327,0.201794,0.189592
42,0.162142,0.218839,0.208084
43,0.167668,0.222313,0.21239
44,0.181021,0.236065,0.225054
45,0.203626,0.260941,0.24986
46,0.232326,0.290815,0.277167
47,0.263144,0.335629,0.311798
48,0.297857,0.373144,0.347435
49,0.318356,0.383849,0.365146
50,0.339388,0.41693,0.384448
51,0.374337,0.442877,0.426042
52,0.423553,0.509773,0.468661
53,0.471166,0.559761,0.517069
54,0.539168,0.637627,0.585065
55,0.540079,0.641391,0.590379
56,0.564075,0.664659,0.611935
57,0.602107,0.707956,0.651741
58,0.656444,0.764826,0.702358
59,0.702166,0.824323,0.751609
60,0.788567,0.916233,0.838941
61,0.791785,0.915761,0.846467
62,0.821299,0.953085,0.874315
63,0.880455,1.02011,0.929219
64,0.940061,1.07957,1.00213
65,1.04605,1.17311,1.06607
66,1.16976,1.25064,1.14862
67,1.1376,1.25578,1.16097
68,1.21633,1.29207,1.18784
69,1.26726,1.34183,1.24339
70,1.24491,1.41478,1.29679
71,1.30856,1.48347,1.36224
72,1.39299,1.57478,1.44244
73,1.41807,1.61412,1.45596
74,1.44269,1.63782,1.49607
75,1.48995,1.68352,1.53986
76,1.54529,1.74185,1.59461
77,1.59545,1.79422,1.64808
78,1.66343,1.8814,1.72051
79,1.67135,1.87095,1.7284
80,1.69041,1.90562,1.74867
81,1.73695,1.95664,1.78645
82,1.78263,2.01101,1.83776
83,1.829,2.0628,1.85302
84,1.89597,2.12606,1.95429
85,1.90908,2.07376,1.97259
86,1.93216,2.09761,1.99804
87,1.98217,2.13759,2.03694
88,2.01688,2.19162,2.08419
89,2.05519,2.23075,2.117
90,2.10927,2.28561,2.17202
91,2.12027,2.28964,2.18145
92,2.13477,2.31205,2.20518
93,2.17122,2.35204,2.23968
94,2.2045,2.37863,2.26543
95,2.24308,2.42525,2.31305
96,2.31421,2.48986,2.38229
97,2.30699,2.49114,2.36828
98,2.32363,2.43656,2.38626
99,2.35588,2.54162,2.41346
100,2.38641,2.57879,2.46022
