Depth,Search,ThreadSearch,OMPSearch
0,4.3281e-05,0.0484015,0.0627443
1,0.000240414,0.0479662,0.0440655
2,0.000522752,0.0478723,0.044339
3,0.0010188,0.0484961,0.0446457
4,0.00147488,0.0484559,0.0458763
5,0.0018681,0.0494961,0.0466066
6,0.00236543,0.0546158,0.0474225
7,0.00293736,0.0502135,0.0477975
8,0.00359258,0.051749,0.0484483
9,0.00495291,0.0528547,0.0503441
10,0.00672008,0.0536546,0.051669
11,0.00872504,0.0554948,0.055205
12,0.0108471,0.0574308,0.0569444
13,0.0119232,0.0591083,0.0576029
14,0.0138527,0.059749,0.0577475
15,0.0148245,0.0630034,0.058819
16,0.0166208,0.0646681,0.0609506
17,0.0188873,0.0672975,0.0633174
18,0.0226937,0.0773817,0.0680945
19,0.0239716,0.0747471,0.0675409
20,0.0257191,0.0747367,0.0686879
21,0.0286166,0.0777658,0.0727224
22,0.0305952,0.0811057,0.0766885
23,0.0328179,0.085867,0.0804653
24,0.0358542,0.0863494,0.0841345
25,0.0375533,0.0890232,0.0850315
26,0.0393952,0.0896939,0.0882469
27,0.0425747,0.0899895,0.0908928
28,0.046679,0.0978869,0.095449
29,0.0509919,0.0996819,0.0999705
30,0.0579034,0.111739,0.107488
31,0.0614208,0.113199,0.112011
32,0.0619992,0.114087,0.11215
33,0.0686253,0.126792,0.1194
34,0.0749463,0.132638,0.127477
35,0.0833068,0.139662,0.136546
36,0.0922456,0.153619,0.147603
37,0.0964318,0.158159,0.151314
38,0.101671,0.161733,0.157273
39,0.112816,0.1705,0.169927
40,0.126134,0.19361,0.184477
41,0.142849,0.215915,0.202212
42,0.161495,0.23543,0.22164
43,0.169339,0.239896,0.225894
44,0.17966,0.259207,0.241735
45,0.202976,0.285287,0.265965
46,0.230974,0.321427,0.296462
47,0.261731,0.351204,0.330011
48,0.297668,0.396075,0.37167
49,0.314584,0.421098,0.389794
50,0.334311,0.445528,0.407311
51,0.37028,0.490368,0.448923
52,0.416235,0.546138,0.496889
53,0.463599,0.608763,0.550858
54,0.523146,0.676019,0.61175
55,0.527811,0.712548,0.612551
56,0.558286,0.699123,0.635991
57,0.592834,0.777349,0.672479
58,0.647878,0.835666,0.724182
59,0.697445,0.891807,0.768645
60,0.777471,0.945063,0.848985
61,0.787358,0.955022,0.855323
62,0.816016,0.9823,0.879636
63,0.877515,1.04946,0.942894
64,0.938533,1.1238,1.00426
65,1.00949,1.20755,1.07661
66,1.08597,1.29172,1.15839
67,1.09891,1.35209,1.17083
68,1.13317,1.3378,1.19988
69,1.2011,1.44991,1.2521
70,1.24835,1.47447,1.3224
71,1.30526,1.59302,1.38042
72,1.38569,1.63785,1.46248
73,1.41768,1.67687,1.50145
74,1.44541,1.70253,1.5286
75,1.51208,1.71629,1.57449
76,1.53772,1.80832,1.61734
77,1.59106,1.86931,1.67531
78,1.66069,1.94828,1.75019
79,1.66143,1.95879,1.75852
80,1.68455,1.98151,1.78192
81,1.7523,2.01751,1.82337
82,1.79258,2.04694,1.87089
83,1.8401,2.07307,1.91892
84,1.88928,2.19176,1.9896
85,1.88558,2.21671,2.00057
86,1.90844,2.2326,2.02614
87,1.93321,2.27376,2.06208
88,1.96784,2.32889,2.11283
89,1.97595,2.41773,2.15144
90,2.0261,2.42752,2.20626
91,2.02603,2.437,2.21291
92,2.04685,2.45834,2.23193
93,2.07088,2.44856,2.26894
94,2.09183,2.52729,2.29901
95,2.13344,2.5698,2.33469
96,2.1859,2.6345,2.3919
97,2.19488,2.63504,2.39727
98,2.20894,2.60471,2.41622
99,2.22607,2.64631,2.44775
100,2.25211,2.69469,2.48253
